POSICION 	Vi	Vf
19p20	9983.2	10415
19p40	9823	10266
19p60	9653.6	10086.7
19p80	9510.8	9943.0
20p00	9316.9	9751.8
20p20	9199.6	9633.6
20p40	9004.9	9437.6
20p60	8862.0	9294.7
20p80	8717.1	9149.8
21p00	8520.9	8953.5
21p20	8401.9	8839.7
21p40	8214.8	8651.8
21p60	8068.5	8506.7
21p80	7919.9	8355.6
22p00	7739.1	8173.2
22p20	7613.6	8054.1
22p40	7431.4	7868.6
22p60	7286.6	7724.1
22p80	7142.5	7580.8
23p00	6957.1	7395.0
23p20	6839.1	7278.1
23p40	6658.6	7109.6
23p60	6510.6	6953.2
23p80	6366.6	6810.2
24p00	6189.9	6632.8
24p20	6067.3	6509.0
24p40	5909.3	6331.6
24p60	5761.2	6192.9
24p80	5608.4	6059.4
25p00	5440.1	5874.4
25p20	5317.7	5755.3
25p40	5158.3	5590.6
25p60	4994	5436
25p80	4830	5272
26p00	4706	5148
26p20	4584	5024
26p40	4462	4900
26p60	4326	4764
26p80	4166	4604
27p00	4006	4444
27p20	3855	4284
27p40	3695	4127
27p60	3535.9	3967
